Homes,Destinations,Distance (KM)
WF6 2QU,WF2 0XG,9.26
BS24 7EG,WF2 0XG,346.17
LS10 1ER,WF2 0XG,10.74
ST16 1FE,WF2 0XG,163.29
WF1 2LX,WF2 0XG,3.22
WF2 0JE,WF2 0XG,3.05
WF14 9FB,WF2 0XG,17.76
PR4 6JS,PR8 1DF,14.2
CT6 6EL,CT6 5HA,1.48
HP20 2XP,HP20 1ST,3.04
PE2 9QT,PE7 8BE,4.1
PE7 3WN,PE7 8BE,4.81
WA7 5XN,WA8 6JE,6.15
HP21 8HP,HP20 1DG,2.44
BT37 0JG,BT36 5EA,-1.0
LS12 2NY,LS5 3BL,3.36
LS13 2HQ,LS1 6AW,7.27
LS11 8UQ,LS11 8LL,2.83
BS7 0QD,BS34 5DG,6.39
CH4 0SL,CH4 0DP,1.95
TN15 8EQ,TN13 1DB,11.28
PE30 5LE,PE30 4NA,2.41
CH65 0BT,CH65 0AP,1.37
WF2 0TY,WF2 0XG,5.22
CT11 0DY,CT11 9AG,1.87
S6 3JN,S6 4HL,2.42
S6 1BP,S6 4HL,3.68
NP11 4EL,NP12 1AB,3.36
EN11 9PT,SG12 9BA,4.7
BA14 8PZ,BA1 1AQ,19.24
NE27 0UX,NE27 0SJ,1.47
YO24 4EL,YO32 9AG,6.45
HA0 1LG,NW6 6JE,9.68
WA10 5BS,WA7 2GX,22.21
NE10 0ET,NE10 9BF,1.6
HD6 1SX,HD6 1AQ,0.95
G69 6JN,G34 9DL,6.11
RG14 1AQ,RG14 1DT,0.52
LA13 9TB,LA14 1DB,1.46
CR3 5QH,CR3 6RT,2.12
BT80 8AP,BT80 8NB,-1.0
BT80 8YA,BT80 8NB,-1.0
TA7 0BZ,TA6 4AB,11.79
BT19 1LP,BT20 5AG,-1.0
ST8 6LS,ST7 1XD,11.25
WV10 9BT,WV1 3ER,5.33
DY1 2SP,WV1 3ER,9.65
EH16 4AD,EH2 4AA,7.68
PL31 1JS,PL31 2HT,1.08
PE38 9DW,PE38 9JZ,0.21
TQ14 8JQ,TQ14 8AL,0.84
NN7 2DA,NN4 0JE,-1.0
LL57 1NH,LL57 1NW,3.07
EH32 9QN,EH21 7DZ,5.98
RG30 3QA,RG1 2AA,3.61
YO23 3UR,WF2 0XG,42.0
WF14 9JS,WF2 0XG,15.65
DE7 5PA,NG9 7AB,5.09
TR19 7NF,TR18 2GB,13.73
TF4 2GL,TF10 7GQ,16.32
WF9 4SS,WF2 0XG,18.81
BD22 9RG,WF2 0XG,40.48
CF11 6LP,CF24 3LN,4.41
BT23 8EX,BT12 6HU,-1.0
DN22 6QH,DN22 6DY,1.79
BL1 8TG,BL6 6JA,9.36
TR11 4LJ,TR11 3AT,2.73
TR18 4RZ,TR18 2GB,2.83
NN18 0SJ,NN17 1NJ,2.21
NE10 9NG,NE11 0BD,6.56
SS17 0DL,SS17 7LL ,2.84
BT19 6ZJ,BT23 7HS,-1.0
ML69LP,G2 8BU,26.52
BN22 0AS,BN21 3NW,5.43
UB1 1AS,UB8 1JY,9.09
NR31 9PN,NR31 0NL,6.42
DY9 8AU,DY8 1HJ,3.9
LS8 3NF,LS2 8LQ,4.18
B29 5PT,B29 6SQ,3.12
DE75 7BX,DE7 8AG,5.55
CF44 7LA,CF44 7DG,0.39
NR33 9NN,NR33 7NG,2.76
NR32 3AR,NR33 7NG,5.01
M27 6AS,M28 3ZH,4.49
NR33 8TU,NR33 7NG,2.37
IP22 4PP,IP22 4AD,0.92
B9 5TR,B24 9FP,4.89
NE34 9DX,NE33 1HZ,5.55
LE3 6RB,LE1 1SG,3.67
WF3 3HZ,WF2 0XG,3.11
BD18 1DJ,WF2 0XG,29.98
NP26 5AN,NP26 4BQ,3.76
NR19 2ET,NR2 1QD,30.6
CH44 5RQ,CH44 5XX,0.58
SO16 6LZ,SO15 3NN,2.6
DH7 6XH,DH1 5GB,5.93
FY3 7TF,FY1 1EJ,4.66
CF44 7LY,CF44 7DG,0.48
EH16 4GB,EH16 5PB,2.2
PR8 6SQ,L37 4DL,11.77
SS15 5FE,SS14 3AF,3.1
PO33 2SD,PO33 2HT,0.94
DY5 2UL,DY5 3AH,0.89
FY7 7NF,FY7 6LY,1.91
WF17 9EU,WF2 0XG,16.26
YO24 4BE,WF2 0XG,48.19
BT5 2HT,BT15 1WA,-1.0
WD25 7HG,WD17 2TE,5.43
TF10 7HZ,TF10 7GQ,0.87
W13 0AW,W5 5JY,4.44
NP4 6GP,NP4 6LR,0.82
S45 9SN,S45 9NG,2.12
ST1 5GF,ST4 8AX,8.85
KY4 8EB,KY4 9QJ,2.15
S2 2NE,S1 2HL,3.79
LL115SW,LL11 1DB,-1.0
CH42 5PX,CH46 6AF,10.28
LS27 8SX,LS27 9BP,1.66
M43 7FD,M43 7AD,0.94
CH65 8EY,CH65 0AP,1.9
TS184EZ ,TS18 1NA,2.68
LE11 1SL,LE11 3XA,1.72
LE67 5AA,LE67 3XA,3.28
RG14 1RX,RG14 5EN,4.23
CM9 6AU,CM9 4LJ,3.12
DY4 0XS,B70 7PP,6.41
BT60 4AU,BT61 7DF,-1.0
WF2 0SJ,WF1 2UZ,5.41
ML6 7DD,ML6 6DB,2.36
M9 8EG,M8 8EP,4.33
SA5 7AU,SA1 7BP,3.71
M9 6EH,M8 8EP,5.15
TN24 4JH,TN34 1NY,-1.0
SS11 8NP,CM12 9BS,10.96
CH65 4DE,CH65 0AP,1.89
E12 6SA,IG1 1RS,3.0
NE5 2NY,NE21 5BT,5.85
WF6 1HL,WF1 1QF,7.96
WS9 9JN,WS1 1NG,8.29
AB43 6PU,AB43 9AE,20.21
ST7 2JU,CW7 1BA,29.28
SY11 2TZ,SY11 1PU,0.77
CF23 9PU,CF10 2DP,7.23
TS23 1ER,TS18 1NA,4.35
DH9 8JX,DH9 0XG,4.41
HU3 5PT,HU1 2HN,4.63
LE67 3RF,LE65 1AF ,8.75
DY3 2EX,B97 4EX,40.44
RH1 4PP,RH10 1ES,28.04
HP6 6ES,HP6 5EQ,1.33
TR1 3DB,TR1 2RL,0.79
NN10 0JE,NN10 6FH,7.54
NE5 3TR,NE1 7AF,5.82
CR0 7BS,BR5 3RP,15.62
SO19 1BU,SO14 7NN,6.12
LD3 9UE,LD3 7JP,1.63
B30 1NS,B5 4BF,8.85
CH5 3BH,CH7 1AZ,8.8
CF34 9EU,CF34 9BT,1.48
PL31 1JE,PL31 2HT,0.92
SL1 5LT,SL6 1LB,6.82
CR35BW,CR8 2AB,7.43
PL14 3UG,PL31 2HT,22.89
UB10 0DS,UB8 1JY,4.39
B62 8HJ,DY5 1SW,7.63
DL15 0LU,DL14 9FA,11.3
PO13 0XU,PO16 9XB,7.99
HP10 8DH,HP11 2BZ,6.86
NE3 3YD,NE5 2QZ,3.75
G67 3NN,G67 1JW,4.71
L07 8EB,PO7 7HS,-1.0
WS8 7QT,WS8 6EQ,1.63
BH14 0AQ,BH15 1SY,3.16
BT10 1HZ,BT40 1JE,-1.0
AL5 1JA,WF2 0XG,264.79
CV8 1QJ,CV32 4DE,7.55
FK8 2BJ,FK8 2EE,3.02
CA2 4PZ,CA3 8NX,3.06
TQ12 3LS,TQ12 2DT,3.77
B66 4AW,B66 4BH,0.24
TS6 9HD,TS10 3FB,10.74
RG2 7HS,RG1 7QE,4.25
TQ12 2HP,TQ1 1ET,10.84
NR1 2PN,NR1 3RS,1.0
B37 7PS,B37 5TP,1.56
ST1 6BN,ST6 6BE,4.08
CV5 7GR,CV1 1DE,6.97
PL7 4QT,PL9 7AS,6.63
CV3 4BU,CV1 1DE,5.38
SG18 0BY,SG18 8AS,1.05
PR8 5AW,PR8 1DF,1.56
PO33 1HP,PO33 2HT,0.9
TQ1 1PE,TQ1 1ET,0.84
AB43 9QY,AB43 9AE,0.91
YO12 4AQ,YO11 1LP,2.09
ME2 2HW,ME2 4AR,1.53
NP22 3PF,NP22 3EJ,1.44
WF17 0EZ,WF2 0XG,11.07
YO31 9EN,YO30 4XZ,5.78
CH66 4TN,CH65 0AP,4.24
LS11 6NN,LS10 1ET,1.54
E13 9NP,E20 1EH,5.07
NG16 2WR,NG16 4AF,6.62
G78 3PH,G77 6AA,7.58
B26 2RR,B91 3SW,7.02
NG119HA,NG11 8AA,1.08
ME13 7EW,ME13 7AA,1.26
DE75 7GE,NG16 4AF,2.07
UB1 3RA,W5 5JY,5.91
EN6 3JA,EN6 1BW,2.22
SS7 4LP,SS14 1BX,8.47
BT74 4EN,BT74 6JQ,-1.0
RM17 6PS,RM20 2ZP,5.57
RM126SW,RM12 4UH,2.74
G821BY,G82 1LL,1.4
UB3 4JU,TW3 1DJ,6.65
E17 7HR,E17 7JR,1.76
BT715AS,BT80 8NB,-1.0
TF3 1PF,TF3 4AE,4.82
ST200DW,TF10 7GQ,9.66
MK2 3HF,MK1 1ST,4.86
G824ED,G82 1LL,1.85
WF1 2LF,WF2 0XG,2.3
LL53 6BJ,LL55 2AD,32.57
B32 3SQ,B69 3DD,9.32
BD18 3BY,WF2 0XG,28.93
CA286QB,CA28 7JN,4.79
S2 1HN,S2 5AU,4.1
ST7 8NL,ST7 1XD,4.53
BA1 6NN,BA1 1AQ,3.4
GU1 2UR,GU1 3DW,4.81
AB15 5EQ,AB42 1ZP,53.27
CH62 2AZ,CH62 3PN,1.05
BT23 4NS,BT23 4EU,-1.0
TR20 8AE,TR18 2GB,3.38
PR25 1AX,PR25 2SA,2.33
CV12 8QL,CV6 6AS,5.16
RM15 6BD,RM20 2ZP,3.56
CV34 6FW,CV34 6RH,1.44
CE32 9EP,CF31 3BL,-1.0
WN89EW,PR9 0TQ,24.44
DY117HG,DY10 1EH,3.81
DN401JU,DN40 2AB,1.46
BT489TG,BT48 6XY,-1.0
DY81JZ,DY5 1SY,3.76
BB4 4PR,WF2 0XG,83.83
OX16 0DU,OX16 1LX,2.35
BT80 8TT,BT80 8NB,-1.0
DN7 5HD,DN2 4PE,10.49
B980LX,B97 4EX,5.6
B91 1EB,B90 3AH,2.88
S8 8EE,S8 8BS,2.47
GL4 0SF,GL1 1QH,5.99
N9 0FR,N15 4QD,5.23
WS124SS,WS11 1EB,4.62
L355EB,L36 9YG,4.02
DG9 7SX,DG9 7ED,1.98
BL3 1FT,BL6 6JA,14.4
S5 0JA,S9 1ES,5.8
CB8 8BA,CB8 8HT,1.26
RM15 6EU,RM20 2ZP,3.68
EH222LL,EH22 1HR,2.23
DL2 1FJ,WF2 0XG,113.75
BB4 4HE,BB4 6HW,4.43
WN8 9EP,WN8 6ND,2.02
LL142HH,LL11 1DB,-1.0
B14 4QZ,B91 3BG,9.73
BN26 6QN,BN27 1DP,5.32
TW16 7DW,TW16 7BB,1.69
NE10 8AT,NE1 7XG,9.5
NE15 6QE,NE4 8BE,1.5
S70 5BH,S70 1SB,3.18
OX16 0DJ,OX16 1LX,2.08
ME15 9WP,ME15 6AT,4.25
NE214ER,NE11 0BD,12.76
BL35DT,BL1 1BU,1.2
WA66RU,WA6 6QW,0.34
PR25 2XW,PR25 2SA,1.31
L20 5GB,L20 4SW,1.4
ME5 7NS,ME4 4HY,4.64
WN7 2YW,WN7 4PG,3.53
CH658BH,CH65 0AP,1.03
NG8 5QU,NG16 2PB,5.81
BD18 2JU,BD1 1QR,5.87
L4 8SB,L26 0AD,20.29
WA3 7NZ,WA3 7PQ,2.25
NE108BD,NE1 7AF,9.44
B31 2PN,B29 6SQ,4.93
